,QID,Author,Gender,Nationality,Description
1654,Q46248,Terry Pratchett,male,gb,English fantasy author
3354,Q134798,Haruki Murakami,male,jp,Japanese author and novelist
4191,Q80137,Emily Brontë,female,United Kingdom of Great Britain and Ireland,English novelist and poet
4750,Q504,Émile Zola,male,fr,French writer
4785,Q38337,Alexandre Dumas,male,fr,French writer and dramatist
7628,Q312579,Iain Banks,male,gb,Scottish writer
8051,Q155845,Chinua Achebe,male,Colonial Nigeria,"Nigerian novelist, poet, professor, and critic"
9057,Q298827,Gaston Leroux,male,fr,French writer
9121,Q167856,James Fenimore Cooper,male,us,American author
9343,Q262116,Kate Mosse,female,gb,"English novelist, non-fiction and short story writer and broadcaster"
45712,Q270632,Katherine Mansfield,female,nz,New Zealand author
53468,Q514950,Eliza Parsons,female,United Kingdom of Great Britain and Ireland,"English writer, novelist (1739-1811)"
60014,Q2982465,Colette Becker,female,fr,Literature professor from France
76177,Q561408,Thomas Love Peacock,male,United Kingdom of Great Britain and Ireland,"English novelist, poet, and official of the East India Company"
91422,Q4963527,Brian Davies,male,gb,"British priest, academic, philosopher"
228089,Q9711,Honoré de Balzac,male,fr,French writer
425652,Q5338501,Edith Birkhead,female,gb,British academic
550793,Q7151782,Paul Kincaid,male,gb,Science fiction critic
761380,Q936819,Fabien Vehlmann,male,fr,Writer
874602,Q181659,Ursula K. Le Guin,female,us,American writer
2778055,Q49074,Kurt Vonnegut,male,us,American writer
3365457,Q16204354,Ann Leckie,female,us,American science-fiction author
5807106,Q312579,Iain Banks,male,gb,Scottish writer
7452431,Q5516035,Gabriella Coleman,female,us,Internet anthropologist
