BookId,Author,Title,Category,Language,Words,Added
"articles/A Political History of the Future_ Iain M. Banks - Lawyers, Guns & Money_DPY4NFP2VUFYA4I4CKDUHV2KF25DAHOR.azw3",lawyersgunsmoneyblog.com,"A Political History of the Future: Iain M. Banks - Lawyers, Guns & Money",articles,en,2850,2019-03-04
articles/Iain Banks The Culture And His W-asin_3VDIM65JHQ5OUHSIAN7XURSA6U4N34NY-type_PDOC-v_0.azw3,,Iain Banks: The Culture And His Work Remembered,articles,en,2067,2013-06-12
articles/Iain Banks_ the final interview.azw3_6R2KPWW56GGQW3HWAJ4MTSYCLASWAYQQ.azw3,Stuart Kelly,Iain Banks: the final interview,articles,en,4248,2015-09-12
articles/The Tao of Sir Terry_ Pratchett vs. Logic_E5XIECT7NU2ID5I7IVB7PHYYHVGD2JAU.azw3,tor.com,The Tao of Sir Terry: Pratchett vs. Logic,articles,en,1889,2019-05-09
non-fiction/Coleman-Coding-Freedom.mobi,E. Gabriella Coleman,Coding Freedom: The Ethics and Aesthetics of Hacking,non-fiction,en,106971,2014-09-26
non-fiction/historyofoxfords00falk.mobi,John Meade Falkner,A history of Oxfordshire,non-fiction,en,144999,2016-01-05
non-fiction/pg14154.mobi,Edith Birkhead,The Tale of Terror / A Study of the Gothic Romance,non-fiction,en,76079,2013-02-06
non-fiction/pg30513-images.mobi,Alexis de Tocqueville,"De la Démocratie en Amérique, tome premier / et augmentée d'un Avertissement et d'un Examen comparatif / de la Démocratie aux États-Unis et en Suisse",non-fiction,fr,94379,2016-03-14
non-fiction/pg30514-images.mobi,Alexis de Tocqueville,"De la Démocratie en Amérique, tome deuxième",non-fiction,fr,113570,2016-03-14
non-fiction/pg30515-images.mobi,Alexis de Tocqueville,"De la Démocratie en Amérique, tome troisième",non-fiction,fr,59774,2016-03-14
non-fiction/pg30516-images.mobi,Alexis de Tocqueville,"De la Démocratie en Amérique, tome quatrième",non-fiction,fr,75740,2016-03-14
novels/The_Castle_of_Wolfenbach.mobi,"Parsons, Eliza, 1739-1811",The Castle of Wolfenbach,novels,en,90186,2014-04-03
novels/b869w.mobi,"Emily, Bronte,; Brontë, Emily, 1818-1848",Wuthering Heights,novels,en,120536,2014-06-11
novels/pg13765.mobi,Gaston Leroux,Le mystère de la chambre jaune,novels,fr,86970,2012-01-17
novels/pg13947.mobi,Alexandre Dumas père,"Le vicomte de Bragelonne, Tome I.",novels,fr,174555,2014-07-29
novels/pg13948.mobi,Alexandre Dumas père,"Le vicomte de Bragelonne, Tome II.",novels,fr,166396,2014-07-29
novels/pg13949.mobi,Alexandre Dumas père,"Le vicomte de Bragelonne, Tome III.",novels,fr,155184,2014-07-29
novels/pg13950.mobi,Alexandre Dumas père,"Le vicomte de Bragelonne, Tome IV.",novels,fr,184260,2014-07-29
short-stories/Les_soirees_de_Medan.pdf,Maupassant et al.,Les soirées de Médan,short-stories,en,74664,2012-06-26
short-stories/pg1429-images.mobi,Katherine Mansfield,"The Garden Party, and Other Stories",short-stories,en,60307,2016-04-29
