BookId,Author,AuthorId,Title,Work,Shelf,Category,Scheduled,Borrowed,Series,SeriesId,Entry,Binding,Published,Language,Pages,Added,Started,Read,Rating,AvgRating
9556,Haruki Murakami,3354,The Elephant Vanishes,693417,pending,short-stories,2020-01-01,False,,,,Paperback,1993,en,327,2016-04-18,,,0,3.8599999999999998757
9557,Haruki Murakami,3354,Sputnik Sweetheart,1813695,pending,novels,,False,,,,Paperback,1999,en,229,2017-04-18,,,0,3.8199999999999998401
9595,Kurt Vonnegut,2778055,"Slapstick, or Lonesome No More!",815535,pending,novels,,False,,,,Paperback,1976,en,288,2017-07-03,,,0,3.8700000000000001066
10374,Haruki Murakami,3354,Hard-Boiled Wonderland and the End of the World,2531870,read,novels,,False,,,,Paperback,1985,en,400,2016-04-18,2019-08-06,2019-08-27,5,4.1500000000000003553
12012,Iain M. Banks,5807106,The Player of Games,1494157,read,novels,,False,Culture,49118,2,,1988,en,309,2016-04-18,2018-01-15,2018-01-29,4,4.2699999999999995737
12014,Iain Banks,7628,Complicity,2132,pending,novels,2021-01-01,False,,,,Paperback,1993,en,313,2018-04-05,,,0,3.8500000000000000888
12021,Iain Banks,7628,The Crow Road,950451,pending,novels,2020-01-01,False,,,,Paperback,1992,en,501,2016-04-18,,,0,4.0499999999999998224
12022,Iain Banks,7628,The Crow Road,950451,currently-reading,novels,,False,,,,Paperback,1992,en,501,2016-04-18,2020-06-06,,0,4.0499999999999998224
12023,Iain Banks,7628,The Crow Road,950451,read,novels,,False,,,,Paperback,1992,en,501,2016-04-18,2020-06-06,2020-06-13,5,4.0800000000000000711
28417,Émile Zola,4750,La Bête humaine,101404,elsewhere,novels,,True,Les Rougon-Macquart,40441,17,Mass Market Paperback,1890,fr,462,2016-05-22,,,0,4.0599999999999996092
38290,James Fenimore Cooper,9121,The Pioneers,443966,pending,novels,,False,The Leatherstocking Tales,81550,1,Paperback,1823,,496,2017-02-27,,,0,3.3900000000000001243
47989,Terry Pratchett,1654,Night Watch,1712283,pending,novels,2021-01-01,False,Discworld,40650,29,,2002,en,480,2016-05-22,,,0,4.4900000000000002132
68041,Ursula K. Le Guin,874602,The Earthsea Quartet,1112741,pending,novels,,False,Earthsea Cycle,40909,1-4,Paperback,1984,en,691,2018-04-25,,,0,4.2699999999999995737
70933,Haruki Murakami,3354,The Wind-Up Bird Chronicle,2531376,pending,novels,2021-01-01,False,,,,Paperback,1994,en,609,2016-04-18,,,0,4.1699999999999999289
112525,Daniel Woodrell,65135,Winter's Bone,1693257,library,novels,2020-01-01,True,,,,Hardcover,2006,en,193,2016-06-17,,,0,3.9100000000000001421
