BookId,Added,Author,AuthorId,AvgRating,Binding,Borrowed,Category,Entry,Language,Pages,Published,Rating,Read,Scheduled,Series,SeriesId,Shelf,Started,Title,Work
9556,2016-04-18,Haruki Murakami,3354,3.86,Paperback,False,short-stories,,en,327,1993,0,,2020-01-01,,,pending,,The Elephant Vanishes,693417
9557,2017-04-18,Haruki Murakami,3354,3.82,Paperback,False,novels,,en,229,1999,0,,,,,pending,,Sputnik Sweetheart,1813695
9595,2017-07-03,Kurt Vonnegut,2778055,3.87,Paperback,False,novels,,en,288,1976,0,,,,,pending,,"Slapstick, or Lonesome No More!",815535
10374,2016-04-18,Haruki Murakami,3354,4.15,Paperback,False,novels,,en,400,1985,5,2019-08-27,,,,read,2019-08-06,Hard-Boiled Wonderland and the End of the World,2531870
12012,2016-04-18,Iain M. Banks,5807106,4.27,,False,novels,2,en,309,1988,4,2018-01-29,,Culture,49118,read,2018-01-15,The Player of Games,1494157
12014,2018-04-05,Iain Banks,7628,3.85,Paperback,False,novels,,en,313,1993,0,,2021-01-01,,,pending,,Complicity,2132
12021,2016-04-18,Iain Banks,7628,4.05,Paperback,False,novels,,en,501,1992,0,,2020-01-01,,,pending,,The Crow Road,950451
28417,2016-05-22,Émile Zola,4750,4.06,Mass Market Paperback,True,novels,17,fr,462,1890,0,,,Les Rougon-Macquart,40441,elsewhere,,La Bête humaine,101404
38290,2017-02-27,James Fenimore Cooper,9121,3.39,Paperback,False,novels,1,,496,1823,0,,,The Leatherstocking Tales,81550,pending,,The Pioneers,443966
47989,2016-05-22,Terry Pratchett,1654,4.49,,False,novels,29,en,480,2002,0,,2021-01-01,Discworld,40650,pending,,Night Watch,1712283
68041,2018-04-25,Ursula K. Le Guin,874602,4.27,Paperback,False,novels,1-4,en,691,1984,0,,,Earthsea Cycle,40909,pending,,The Earthsea Quartet,1112741
70933,2016-04-18,Haruki Murakami,3354,4.17,Paperback,False,novels,,en,609,1994,0,,2021-01-01,,,pending,,The Wind-Up Bird Chronicle,2531376
112525,2016-06-17,Daniel Woodrell,65135,3.91,Hardcover,True,novels,,en,193,2006,0,,2020-01-01,,,library,,Winter's Bone,1693257
115069,2016-11-24,Émile Zola,4750,3.93,Mass Market Paperback,False,novels,18,fr,542,1891,0,,,Les Rougon-Macquart,40441,ebooks,,L'Argent,417025
116296,2016-05-22,Terry Pratchett,1654,4.24,Hardcover,True,novels,36,en,394,2007,0,,2021-01-01,Discworld,40650,elsewhere,,Making Money,144656
129135,2016-04-18,Iain M. Banks,5807106,4.2,Paperback,False,novels,7,en,403,2000,0,,,Culture,49118,pending,,Look to Windward,124371
168663,2016-04-18,Kurt Vonnegut,2778055,3.88,Paperback,False,novels,,en,237,1985,0,,,,,pending,,Galápagos,517654
172325,2016-04-18,Iain M. Banks,5807106,3.82,,False,novels,,en,279,1994,0,,2020-01-01,,,pending,,Feersum Endjinn,851516
246245,2016-11-08,James Fenimore Cooper,9121,3.69,Paperback,False,novels,5,en,576,1841,0,,,The Leatherstocking Tales,81550,ebooks,,The Deerslayer,15188375
254471,2016-11-24,Émile Zola,4750,4,Mass Market Paperback,False,novels,19,fr,608,1892,0,,,Les Rougon-Macquart,40441,ebooks,,La Débâcle,3522286
288680,2016-05-12,Terry Pratchett,1654,4.27,Mass Market Paperback,True,novels,25,en,444,2000,0,,2020-01-01,Discworld,40650,elsewhere,,The Truth,280092
290566,2017-09-26,Iain Banks,7628,3.22,Paperback,False,novels,,en,198,1989,3,2019-08-12,,,,read,2019-05-11,Canal Dreams,1494165
290574,2017-02-07,Iain M. Banks,5807106,3.92,Paperback,False,novels,6,en,405,1998,0,,2021-01-01,Culture,49118,pending,,Inversions,21864462
347245,2016-11-08,James Fenimore Cooper,9121,3.88,Paperback,False,novels,4,en,528,1840,0,,,The Leatherstocking Tales,81550,ebooks,,The Pathfinder,3063028
